1,2023-12-15,12,2023
2,2023-12-14,12,2023
3,2023-12-13,12,2023
4,2023-12-12,12,2023
5,2023-12-11,12,2023
6,2023-12-10,12,2023
7,2023-12-09,12,2023
8,2023-12-08,12,2023
9,2023-12-07,12,2023
10,2023-12-06,12,2023
11,2023-12-05,12,2023
12,2023-12-04,12,2023
13,2023-12-03,12,2023
14,2023-12-02,12,2023
15,2023-12-01,12,2023
16,2023-11-30,11,2023
17,2023-11-29,11,2023
18,2023-11-28,11,2023
19,2023-11-27,11,2023
20,2023-11-26,11,2023
21,2023-11-25,11,2023
22,2023-11-24,11,2023
23,2023-11-23,11,2023
24,2023-11-22,11,2023
25,2023-11-21,11,2023
26,2023-11-20,11,2023
27,2023-11-19,11,2023
28,2023-11-18,11,2023
29,2023-11-17,11,2023
30,2023-11-16,11,2023
